condition_1,sentence_1,condition_2,sentence_2,condition_3,sentence_3,condition_4,sentence_4,condition_5,sentence_5,condition_6,sentence_6,condition_7,sentence_7,condition_8,sentence_8,condition_9,sentence_9,condition_10,sentence_10,condition_11,sentence_11,condition_12,sentence_12,condition_13,sentence_13,condition_14,sentence_14,condition_15,sentence_15,condition_16,sentence_16,condition_17,sentence_17,condition_18,sentence_18,condition_19,sentence_19,condition_20,sentence_20,condition_21,sentence_21,condition_22,sentence_22,condition_23,sentence_23,condition_24,sentence_24,condition_25,sentence_25,condition_26,sentence_26,condition_27,sentence_27,condition_28,sentence_28,condition_29,sentence_29,condition_30,sentence_30,condition_31,sentence_31,condition_32,sentence_32,condition_33,sentence_33,condition_34,sentence_34,condition_35,sentence_35,condition_36,sentence_36,condition_37,sentence_37,condition_38,sentence_38,condition_39,sentence_39,condition_40,sentence_40,condition_41,sentence_41,condition_42,sentence_42,condition_43,sentence_43,condition_44,sentence_44,condition_45,sentence_45,condition_46,sentence_46,condition_47,sentence_47,condition_48,sentence_48,condition_49,sentence_49,condition_50,sentence_50,condition_51,sentence_51,condition_52,sentence_52,condition_53,sentence_53,condition_54,sentence_54,condition_55,sentence_55,condition_56,sentence_56,condition_57,sentence_57,condition_58,sentence_58,condition_59,sentence_59,condition_60,sentence_60,condition_61,sentence_61,condition_62,sentence_62,condition_63,sentence_63,condition_64,sentence_64,condition_65,sentence_65,condition_66,sentence_66,condition_67,sentence_67,condition_68,sentence_68,condition_69,sentence_69,condition_70,sentence_70,condition_71,sentence_71,condition_72,sentence_72,condition_73,sentence_73,condition_74,sentence_74,condition_75,sentence_75,condition_76,sentence_76,condition_77,sentence_77,condition_78,sentence_78,condition_79,sentence_79,condition_80,sentence_80,condition_81,sentence_81,condition_82,sentence_82,condition_83,sentence_83,condition_84,sentence_84,condition_85,sentence_85,condition_86,sentence_86,condition_87,sentence_87,condition_88,sentence_88,condition_89,sentence_89,condition_90,sentence_90,condition_91,sentence_91,condition_92,sentence_92,condition_93,sentence_93,condition_94,sentence_94,condition_95,sentence_95,condition_96,sentence_96,condition_97,sentence_97,condition_98,sentence_98,condition_99,sentence_99,condition_100,sentence_100,condition_101,sentence_101,condition_102,sentence_102,condition_103,sentence_103,condition_104,sentence_104,condition_105,sentence_105,condition_106,sentence_106,condition_107,sentence_107,condition_108,sentence_108
Prop-t10,More than 33% of the dots are blue.,Many-t07,Many of the dots are blue.,Prop-f07,More than 60% of the dots are blue.,3C_Mild-9,Most of the dots are blue.,Mtn-t04,More than 11 of the dots are blue.,3C_Bal-4,Most of the dots are blue.,Many-t05,Many of the dots are blue.,Many-f11,Many of the dots are blue.,3C_Unbal-1,Most of the dots are blue.,Mtn-f01,More than 11 of the dots are blue.,Many-t03,Many of the dots are blue.,2C-9,Most of the dots are blue.,Mtn-f08,More than 11 of the dots are blue.,3C_Mild-5,Most of the dots are blue.,Prop-f10,More than 80% of the dots are blue.,Many-f04,Many of the dots are blue.,3C_Mild-8,Most of the dots are blue.,Many-t12,Many of the dots are blue.,3C_Mild-6,Most of the dots are blue.,Prop-t02,More than 10% of the dots are blue.,Many-f06,Many of the dots are blue.,3C_Mild-2,Most of the dots are blue.,Many-f07,Many of the dots are blue.,Prop-f09,More than 5/6 of the dots are blue.,Prop-t11,More than 80% of the dots are blue.,Many-f02,Many of the dots are blue.,2C-6,Most of the dots are blue.,Mtn-f11,More than 11 of the dots are blue.,Mtn-f12,More than 11 of the dots are blue.,Many-t02,Many of the dots are blue.,Mtn-t11,More than 11 of the dots are blue.,3C_Bal-5,Most of the dots are blue.,Prop-f05,More than 3/4 of the dots are blue.,Mtn-t03,More than 11 of the dots are blue.,Prop-f03,More than 2/7 of the dots are blue.,2C-8,Most of the dots are blue.,Many-t04,Many of the dots are blue.,Mtn-t10,More than 11 of the dots are blue.,3C_Mild-7,Most of the dots are blue.,Prop-f12,More than 3/5 of the dots are blue.,Many-t01,Many of the dots are blue.,Mtn-t02,More than 11 of the dots are blue.,Prop-f04,More than 50% of the dots are blue.,3C_Mild-4,Most of the dots are blue.,Mtn-f05,More than 11 of the dots are blue.,Prop-t06,More than 3/4 of the dots are blue.,2C-2,Most of the dots are blue.,Mtn-t08,More than 11 of the dots are blue.,3C_Unbal-2,Most of the dots are blue.,Mtn-t06,More than 11 of the dots are blue.,3C_Bal-3,Most of the dots are blue.,Many-t08,Many of the dots are blue.,3C_Unbal-8,Most of the dots are blue.,Many-f05,Many of the dots are blue.,3C_Unbal-5,Most of the dots are blue.,Prop-t09,More than 4/5 of the dots are blue.,Many-t09,Many of the dots are blue.,3C_Unbal-9,Most of the dots are blue.,Prop-t12,More than 2/3 of the dots are blue.,3C_Unbal-3,Most of the dots are blue.,Mtn-f10,More than 11 of the dots are blue.,Many-t06,Many of the dots are blue.,Mtn-t09,More than 11 of the dots are blue.,3C_Unbal-7,Most of the dots are blue.,Many-t10,Many of the dots are blue.,3C_Bal-1,Most of the dots are blue.,Prop-t08,More than 1/8 of the dots are blue.,3C_Bal-2,Most of the dots are blue.,Mtn-f07,More than 11 of the dots are blue.,2C-7,Most of the dots are blue.,Prop-f01,More than 30% of the dots are blue.,Many-f10,Many of the dots are blue.,Many-f12,Many of the dots are blue.,2C-5,Most of the dots are blue.,Many-t11,Many of the dots are blue.,Mtn-t05,More than 11 of the dots are blue.,Prop-t05,More than 1/4 of the dots are blue.,Prop-f02,More than 90% of the dots are blue.,3C_Bal-6,Most of the dots are blue.,Mtn-f09,More than 11 of the dots are blue.,Mtn-t07,More than 11 of the dots are blue.,Prop-t03,More than 1/5 of the dots are blue.,2C-3,Most of the dots are blue.,Mtn-f03,More than 11 of the dots are blue.,3C_Bal-9,Most of the dots are blue.,Prop-f06,More than 2/5 of the dots are blue.,Many-f03,Many of the dots are blue.,3C_Mild-1,Most of the dots are blue.,Prop-f11,More than 40% of the dots are blue.,3C_Mild-3,Most of the dots are blue.,Prop-f08,More than 3/7 of the dots are blue.,Mtn-f04,More than 11 of the dots are blue.,3C_Bal-8,Most of the dots are blue.,Mtn-f02,More than 11 of the dots are blue.,3C_Unbal-6,Most of the dots are blue.,Mtn-t01,More than 11 of the dots are blue.,Mtn-f06,More than 11 of the dots are blue.,2C-1,Most of the dots are blue.,Prop-t01,More than 50% of the dots are blue.,Prop-t07,More than 25% of the dots are blue.,3C_Bal-7,Most of the dots are blue.,Many-f01,Many of the dots are blue.,2C-4,Most of the dots are blue.,Mtn-t12,More than 11 of the dots are blue.,3C_Unbal-4,Most of the dots are blue.,Prop-t04,More than 75% of the dots are blue.,Many-f09,Many of the dots are blue.,Many-f08,Many of the dots are blue.
Many-f08,Many of the dots are blue.,Many-f09,Many of the dots are blue.,Prop-t04,More than 75% of the dots are blue.,3C_Unbal-4,Most of the dots are blue.,Mtn-t12,More than 11 of the dots are blue.,2C-4,Most of the dots are blue.,Many-f01,Many of the dots are blue.,3C_Bal-7,Most of the dots are blue.,Prop-t07,More than 25% of the dots are blue.,Prop-t01,More than 50% of the dots are blue.,2C-1,Most of the dots are blue.,Mtn-f06,More than 11 of the dots are blue.,Mtn-t01,More than 11 of the dots are blue.,3C_Unbal-6,Most of the dots are blue.,Mtn-f02,More than 11 of the dots are blue.,3C_Bal-8,Most of the dots are blue.,Mtn-f04,More than 11 of the dots are blue.,Prop-f08,More than 3/7 of the dots are blue.,3C_Mild-3,Most of the dots are blue.,Prop-f11,More than 40% of the dots are blue.,3C_Mild-1,Most of the dots are blue.,Many-f03,Many of the dots are blue.,Prop-f06,More than 2/5 of the dots are blue.,3C_Bal-9,Most of the dots are blue.,Mtn-f03,More than 11 of the dots are blue.,2C-3,Most of the dots are blue.,Prop-t03,More than 1/5 of the dots are blue.,Mtn-t07,More than 11 of the dots are blue.,Mtn-f09,More than 11 of the dots are blue.,3C_Bal-6,Most of the dots are blue.,Prop-f02,More than 90% of the dots are blue.,Prop-t05,More than 1/4 of the dots are blue.,Mtn-t05,More than 11 of the dots are blue.,Many-t11,Many of the dots are blue.,2C-5,Most of the dots are blue.,Many-f12,Many of the dots are blue.,Many-f10,Many of the dots are blue.,Prop-f01,More than 30% of the dots are blue.,2C-7,Most of the dots are blue.,Mtn-f07,More than 11 of the dots are blue.,3C_Bal-2,Most of the dots are blue.,Prop-t08,More than 1/8 of the dots are blue.,3C_Bal-1,Most of the dots are blue.,Many-t10,Many of the dots are blue.,3C_Unbal-7,Most of the dots are blue.,Mtn-t09,More than 11 of the dots are blue.,Many-t06,Many of the dots are blue.,Mtn-f10,More than 11 of the dots are blue.,3C_Unbal-3,Most of the dots are blue.,Prop-t12,More than 2/3 of the dots are blue.,3C_Unbal-9,Most of the dots are blue.,Many-t09,Many of the dots are blue.,Prop-t09,More than 4/5 of the dots are blue.,3C_Unbal-5,Most of the dots are blue.,Many-f05,Many of the dots are blue.,3C_Unbal-8,Most of the dots are blue.,Many-t08,Many of the dots are blue.,3C_Bal-3,Most of the dots are blue.,Mtn-t06,More than 11 of the dots are blue.,3C_Unbal-2,Most of the dots are blue.,Mtn-t08,More than 11 of the dots are blue.,2C-2,Most of the dots are blue.,Prop-t06,More than 3/4 of the dots are blue.,Mtn-f05,More than 11 of the dots are blue.,3C_Mild-4,Most of the dots are blue.,Prop-f04,More than 50% of the dots are blue.,Mtn-t02,More than 11 of the dots are blue.,Many-t01,Many of the dots are blue.,Prop-f12,More than 3/5 of the dots are blue.,3C_Mild-7,Most of the dots are blue.,Mtn-t10,More than 11 of the dots are blue.,Many-t04,Many of the dots are blue.,2C-8,Most of the dots are blue.,Prop-f03,More than 2/7 of the dots are blue.,Mtn-t03,More than 11 of the dots are blue.,Prop-f05,More than 3/4 of the dots are blue.,3C_Bal-5,Most of the dots are blue.,Mtn-t11,More than 11 of the dots are blue.,Many-t02,Many of the dots are blue.,Mtn-f12,More than 11 of the dots are blue.,Mtn-f11,More than 11 of the dots are blue.,2C-6,Most of the dots are blue.,Many-f02,Many of the dots are blue.,Prop-t11,More than 80% of the dots are blue.,Prop-f09,More than 5/6 of the dots are blue.,Many-f07,Many of the dots are blue.,3C_Mild-2,Most of the dots are blue.,Many-f06,Many of the dots are blue.,Prop-t02,More than 10% of the dots are blue.,3C_Mild-6,Most of the dots are blue.,Many-t12,Many of the dots are blue.,3C_Mild-8,Most of the dots are blue.,Many-f04,Many of the dots are blue.,Prop-f10,More than 80% of the dots are blue.,3C_Mild-5,Most of the dots are blue.,Mtn-f08,More than 11 of the dots are blue.,2C-9,Most of the dots are blue.,Many-t03,Many of the dots are blue.,Mtn-f01,More than 11 of the dots are blue.,3C_Unbal-1,Most of the dots are blue.,Many-f11,Many of the dots are blue.,Many-t05,Many of the dots are blue.,3C_Bal-4,Most of the dots are blue.,Mtn-t04,More than 11 of the dots are blue.,3C_Mild-9,Most of the dots are blue.,Prop-f07,More than 60% of the dots are blue.,Many-t07,Many of the dots are blue.,Prop-t10,More than 33% of the dots are blue.
Mtn-f04,More than 11 of the dots are blue.,Prop-f09,More than 5/6 of the dots are blue.,3C_Unbal-6,Most of the dots are blue.,Mtn-t08,More than 11 of the dots are blue.,2C-9,Most of the dots are blue.,Many-t12,Many of the dots are blue.,3C_Unbal-4,Most of the dots are blue.,Mtn-f12,More than 11 of the dots are blue.,Many-f09,Many of the dots are blue.,Prop-f07,More than 60% of the dots are blue.,3C_Bal-4,Most of the dots are blue.,Mtn-t04,More than 11 of the dots are blue.,Many-t04,Many of the dots are blue.,3C_Unbal-3,Most of the dots are blue.,Mtn-t01,More than 11 of the dots are blue.,Prop-f10,More than 80% of the dots are blue.,Prop-t12,More than 2/3 of the dots are blue.,3C_Mild-5,Most of the dots are blue.,Many-f08,Many of the dots are blue.,2C-5,Most of the dots are blue.,Prop-t05,More than 1/4 of the dots are blue.,3C_Mild-9,Most of the dots are blue.,Many-t07,Many of the dots are blue.,3C_Mild-3,Most of the dots are blue.,Mtn-f08,More than 11 of the dots are blue.,Mtn-t07,More than 11 of the dots are blue.,Prop-t01,More than 50% of the dots are blue.,Mtn-t02,More than 11 of the dots are blue.,Prop-f03,More than 2/7 of the dots are blue.,2C-4,Most of the dots are blue.,Many-t08,Many of the dots are blue.,Prop-f11,More than 40% of the dots are blue.,Many-t11,Many of the dots are blue.,Mtn-f03,More than 11 of the dots are blue.,3C_Mild-8,Most of the dots are blue.,Prop-t07,More than 25% of the dots are blue.,Prop-f12,More than 3/5 of the dots are blue.,3C_Unbal-8,Most of the dots are blue.,Many-f11,Many of the dots are blue.,3C_Bal-1,Most of the dots are blue.,Mtn-t09,More than 11 of the dots are blue.,Many-f12,Many of the dots are blue.,Many-t02,Many of the dots are blue.,3C_Bal-5,Most of the dots are blue.,Many-f10,Many of the dots are blue.,3C_Bal-2,Most of the dots are blue.,Prop-t06,More than 3/4 of the dots are blue.,3C_Bal-9,Most of the dots are blue.,Many-f05,Many of the dots are blue.,Many-t01,Many of the dots are blue.,2C-6,Most of the dots are blue.,Many-f02,Many of the dots are blue.,3C_Bal-3,Most of the dots are blue.,Many-t03,Many of the dots are blue.,2C-3,Most of the dots are blue.,Many-t10,Many of the dots are blue.,Prop-f06,More than 2/5 of the dots are blue.,Prop-t11,More than 80% of the dots are blue.,2C-1,Most of the dots are blue.,Many-t05,Many of the dots are blue.,3C_Bal-7,Most of the dots are blue.,Prop-t09,More than 4/5 of the dots are blue.,3C_Unbal-2,Most of the dots are blue.,Mtn-t05,More than 11 of the dots are blue.,Prop-f08,More than 3/7 of the dots are blue.,Many-t09,Many of the dots are blue.,3C_Mild-7,Most of the dots are blue.,Prop-f05,More than 3/4 of the dots are blue.,Mtn-t12,More than 11 of the dots are blue.,Mtn-f10,More than 11 of the dots are blue.,3C_Unbal-7,Most of the dots are blue.,Mtn-f06,More than 11 of the dots are blue.,Mtn-f07,More than 11 of the dots are blue.,2C-7,Most of the dots are blue.,Mtn-t11,More than 11 of the dots are blue.,2C-2,Most of the dots are blue.,Many-f07,Many of the dots are blue.,3C_Mild-2,Most of the dots are blue.,Mtn-f05,More than 11 of the dots are blue.,Many-f03,Many of the dots are blue.,Mtn-t10,More than 11 of the dots are blue.,2C-8,Most of the dots are blue.,Mtn-f01,More than 11 of the dots are blue.,Prop-t08,More than 1/8 of the dots are blue.,3C_Bal-6,Most of the dots are blue.,Mtn-f09,More than 11 of the dots are blue.,Prop-t04,More than 75% of the dots are blue.,3C_Mild-1,Most of the dots are blue.,Mtn-t06,More than 11 of the dots are blue.,3C_Unbal-1,Most of the dots are blue.,Prop-f02,More than 90% of the dots are blue.,3C_Bal-8,Most of the dots are blue.,Prop-f01,More than 30% of the dots are blue.,Mtn-f11,More than 11 of the dots are blue.,3C_Unbal-5,Most of the dots are blue.,Many-f06,Many of the dots are blue.,3C_Unbal-9,Most of the dots are blue.,Many-t06,Many of the dots are blue.,Many-f04,Many of the dots are blue.,Prop-t03,More than 1/5 of the dots are blue.,Prop-t10,More than 33% of the dots are blue.,3C_Mild-4,Most of the dots are blue.,Many-f01,Many of the dots are blue.,Prop-f04,More than 50% of the dots are blue.,Mtn-t03,More than 11 of the dots are blue.,3C_Mild-6,Most of the dots are blue.,Prop-t02,More than 10% of the dots are blue.,Mtn-f02,More than 11 of the dots are blue.
Mtn-f02,More than 11 of the dots are blue.,Prop-t02,More than 10% of the dots are blue.,3C_Mild-6,Most of the dots are blue.,Mtn-t03,More than 11 of the dots are blue.,Prop-f04,More than 50% of the dots are blue.,Many-f01,Many of the dots are blue.,3C_Mild-4,Most of the dots are blue.,Prop-t10,More than 33% of the dots are blue.,Prop-t03,More than 1/5 of the dots are blue.,Many-f04,Many of the dots are blue.,Many-t06,Many of the dots are blue.,3C_Unbal-9,Most of the dots are blue.,Many-f06,Many of the dots are blue.,3C_Unbal-5,Most of the dots are blue.,Mtn-f11,More than 11 of the dots are blue.,Prop-f01,More than 30% of the dots are blue.,3C_Bal-8,Most of the dots are blue.,Prop-f02,More than 90% of the dots are blue.,3C_Unbal-1,Most of the dots are blue.,Mtn-t06,More than 11 of the dots are blue.,3C_Mild-1,Most of the dots are blue.,Prop-t04,More than 75% of the dots are blue.,Mtn-f09,More than 11 of the dots are blue.,3C_Bal-6,Most of the dots are blue.,Prop-t08,More than 1/8 of the dots are blue.,Mtn-f01,More than 11 of the dots are blue.,2C-8,Most of the dots are blue.,Mtn-t10,More than 11 of the dots are blue.,Many-f03,Many of the dots are blue.,Mtn-f05,More than 11 of the dots are blue.,3C_Mild-2,Most of the dots are blue.,Many-f07,Many of the dots are blue.,2C-2,Most of the dots are blue.,Mtn-t11,More than 11 of the dots are blue.,2C-7,Most of the dots are blue.,Mtn-f07,More than 11 of the dots are blue.,Mtn-f06,More than 11 of the dots are blue.,3C_Unbal-7,Most of the dots are blue.,Mtn-f10,More than 11 of the dots are blue.,Mtn-t12,More than 11 of the dots are blue.,Prop-f05,More than 3/4 of the dots are blue.,3C_Mild-7,Most of the dots are blue.,Many-t09,Many of the dots are blue.,Prop-f08,More than 3/7 of the dots are blue.,Mtn-t05,More than 11 of the dots are blue.,3C_Unbal-2,Most of the dots are blue.,Prop-t09,More than 4/5 of the dots are blue.,3C_Bal-7,Most of the dots are blue.,Many-t05,Many of the dots are blue.,2C-1,Most of the dots are blue.,Prop-t11,More than 80% of the dots are blue.,Prop-f06,More than 2/5 of the dots are blue.,Many-t10,Many of the dots are blue.,2C-3,Most of the dots are blue.,Many-t03,Many of the dots are blue.,3C_Bal-3,Most of the dots are blue.,Many-f02,Many of the dots are blue.,2C-6,Most of the dots are blue.,Many-t01,Many of the dots are blue.,Many-f05,Many of the dots are blue.,3C_Bal-9,Most of the dots are blue.,Prop-t06,More than 3/4 of the dots are blue.,3C_Bal-2,Most of the dots are blue.,Many-f10,Many of the dots are blue.,3C_Bal-5,Most of the dots are blue.,Many-t02,Many of the dots are blue.,Many-f12,Many of the dots are blue.,Mtn-t09,More than 11 of the dots are blue.,3C_Bal-1,Most of the dots are blue.,Many-f11,Many of the dots are blue.,3C_Unbal-8,Most of the dots are blue.,Prop-f12,More than 3/5 of the dots are blue.,Prop-t07,More than 25% of the dots are blue.,3C_Mild-8,Most of the dots are blue.,Mtn-f03,More than 11 of the dots are blue.,Many-t11,Many of the dots are blue.,Prop-f11,More than 40% of the dots are blue.,Many-t08,Many of the dots are blue.,2C-4,Most of the dots are blue.,Prop-f03,More than 2/7 of the dots are blue.,Mtn-t02,More than 11 of the dots are blue.,Prop-t01,More than 50% of the dots are blue.,Mtn-t07,More than 11 of the dots are blue.,Mtn-f08,More than 11 of the dots are blue.,3C_Mild-3,Most of the dots are blue.,Many-t07,Many of the dots are blue.,3C_Mild-9,Most of the dots are blue.,Prop-t05,More than 1/4 of the dots are blue.,2C-5,Most of the dots are blue.,Many-f08,Many of the dots are blue.,3C_Mild-5,Most of the dots are blue.,Prop-t12,More than 2/3 of the dots are blue.,Prop-f10,More than 80% of the dots are blue.,Mtn-t01,More than 11 of the dots are blue.,3C_Unbal-3,Most of the dots are blue.,Many-t04,Many of the dots are blue.,Mtn-t04,More than 11 of the dots are blue.,3C_Bal-4,Most of the dots are blue.,Prop-f07,More than 60% of the dots are blue.,Many-f09,Many of the dots are blue.,Mtn-f12,More than 11 of the dots are blue.,3C_Unbal-4,Most of the dots are blue.,Many-t12,Many of the dots are blue.,2C-9,Most of the dots are blue.,Mtn-t08,More than 11 of the dots are blue.,3C_Unbal-6,Most of the dots are blue.,Prop-f09,More than 5/6 of the dots are blue.,Mtn-f04,More than 11 of the dots are blue.
Many-f06,Many of the dots are blue.,3C_Bal-4,Most of the dots are blue.,Mtn-t03,More than 11 of the dots are blue.,Many-t02,Many of the dots are blue.,2C-6,Most of the dots are blue.,Mtn-f04,More than 11 of the dots are blue.,Mtn-f08,More than 11 of the dots are blue.,3C_Mild-5,Most of the dots are blue.,Many-t09,Many of the dots are blue.,3C_Mild-6,Most of the dots are blue.,Prop-t03,More than 1/5 of the dots are blue.,3C_Mild-1,Most of the dots are blue.,Mtn-t11,More than 11 of the dots are blue.,3C_Unbal-2,Most of the dots are blue.,Prop-f02,More than 90% of the dots are blue.,Many-t12,Many of the dots are blue.,Many-f09,Many of the dots are blue.,3C_Unbal-9,Most of the dots are blue.,Many-f08,Many of the dots are blue.,2C-2,Most of the dots are blue.,Mtn-f12,More than 11 of the dots are blue.,Prop-t06,More than 3/4 of the dots are blue.,Mtn-f06,More than 11 of the dots are blue.,3C_Mild-2,Most of the dots are blue.,Mtn-f11,More than 11 of the dots are blue.,Many-f10,Many of the dots are blue.,3C_Unbal-6,Most of the dots are blue.,Prop-f08,More than 3/7 of the dots are blue.,Mtn-f10,More than 11 of the dots are blue.,3C_Unbal-5,Most of the dots are blue.,Many-t04,Many of the dots are blue.,Prop-f11,More than 40% of the dots are blue.,Mtn-t07,More than 11 of the dots are blue.,Prop-t11,More than 80% of the dots are blue.,3C_Unbal-3,Most of the dots are blue.,Mtn-f02,More than 11 of the dots are blue.,3C_Mild-9,Most of the dots are blue.,Prop-f03,More than 2/7 of the dots are blue.,Prop-t10,More than 33% of the dots are blue.,Prop-t09,More than 4/5 of the dots are blue.,3C_Bal-2,Most of the dots are blue.,Many-t03,Many of the dots are blue.,Many-f04,Many of the dots are blue.,Many-t06,Many of the dots are blue.,Prop-f09,More than 5/6 of the dots are blue.,3C_Bal-5,Most of the dots are blue.,Many-f02,Many of the dots are blue.,Prop-f06,More than 2/5 of the dots are blue.,3C_Mild-8,Most of the dots are blue.,Many-f07,Many of the dots are blue.,Prop-t05,More than 1/4 of the dots are blue.,3C_Mild-4,Most of the dots are blue.,Mtn-t12,More than 11 of the dots are blue.,3C_Unbal-7,Most of the dots are blue.,Prop-t04,More than 75% of the dots are blue.,Mtn-f09,More than 11 of the dots are blue.,Prop-f05,More than 3/4 of the dots are blue.,3C_Bal-9,Most of the dots are blue.,Prop-f12,More than 3/5 of the dots are blue.,Mtn-t05,More than 11 of the dots are blue.,2C-9,Most of the dots are blue.,Mtn-t10,More than 11 of the dots are blue.,Many-f03,Many of the dots are blue.,Many-t01,Many of the dots are blue.,Prop-t02,More than 10% of the dots are blue.,2C-3,Most of the dots are blue.,Many-f01,Many of the dots are blue.,Prop-t01,More than 50% of the dots are blue.,2C-5,Most of the dots are blue.,Prop-t07,More than 25% of the dots are blue.,3C_Bal-7,Most of the dots are blue.,Mtn-t04,More than 11 of the dots are blue.,Many-t10,Many of the dots are blue.,Mtn-f01,More than 11 of the dots are blue.,3C_Bal-8,Most of the dots are blue.,Many-t08,Many of the dots are blue.,2C-7,Most of the dots are blue.,Mtn-t02,More than 11 of the dots are blue.,3C_Bal-6,Most of the dots are blue.,Mtn-t09,More than 11 of the dots are blue.,Many-t07,Many of the dots are blue.,Many-f12,Many of the dots are blue.,3C_Unbal-4,Most of the dots are blue.,Many-f05,Many of the dots are blue.,Prop-f10,More than 80% of the dots are blue.,Mtn-t08,More than 11 of the dots are blue.,3C_Unbal-1,Most of the dots are blue.,Mtn-t06,More than 11 of the dots are blue.,3C_Bal-3,Most of the dots are blue.,Mtn-f05,More than 11 of the dots are blue.,Mtn-f07,More than 11 of the dots are blue.,3C_Bal-1,Most of the dots are blue.,Prop-t08,More than 1/8 of the dots are blue.,2C-1,Most of the dots are blue.,Many-t11,Many of the dots are blue.,Mtn-t01,More than 11 of the dots are blue.,3C_Mild-7,Most of the dots are blue.,Prop-f07,More than 60% of the dots are blue.,2C-4,Most of the dots are blue.,Prop-t12,More than 2/3 of the dots are blue.,3C_Unbal-8,Most of the dots are blue.,Mtn-f03,More than 11 of the dots are blue.,3C_Mild-3,Most of the dots are blue.,Prop-f04,More than 50% of the dots are blue.,Prop-f01,More than 30% of the dots are blue.,Many-t05,Many of the dots are blue.,2C-8,Most of the dots are blue.,Many-f11,Many of the dots are blue.
